video_id	caption_pred	start	end	duration	phase	idx
v_wave_BIG_FISH_wave_u_nm_np1_fr_goo_10	PLACEHOLDER	0.0	2.8400000000000003	2.8400000000000003	val_1	0
v_wave__I_ll_Just_Wave_My_Hand__sung_by_Cornerstone_Male_Choir_wave_u_cm_np1_fr_med_0	PLACEHOLDER	0.0	7.76	7.76	val_1	1
v_wave_HP_PRISONER_OF_AZKABAN_wave_u_nm_np1_ri_med_39	PLACEHOLDER	0.0	3.0799999999999996	3.0799999999999996	val_1	2
v_wave_20060723sfjffbartsinger_wave_f_cm_np1_ba_med_0	PLACEHOLDER	0.0	1.9199999999999997	1.9199999999999997	val_1	3
v_wave_We_Wave_-_Premiere_wave_f_cm_np2_fr_med_0	PLACEHOLDER	0.0	3.6	3.6	val_1	4
v_wave_Bush_Wave_vs__Obama_Wave_and_Which_Commander-in-chief_Salutes_the_Best__You_Decide_wave_u_cm_np1_le_med_6	PLACEHOLDER	0.0	2.64	2.64	val_1	5
v_wave_winKen_wave_u_cm_np1_ri_bad_1	PLACEHOLDER	0.0	5.76	5.76	val_1	6
v_wave_Maya_beim_Winken_wave_f_cm_np1_fr_med_1	PLACEHOLDER	0.0	5.92	5.92	val_1	7
v_wave_prelinger_LetsBeGo1953_wave_u_cm_np10_ba_med_2	PLACEHOLDER	0.0	4.2	4.2	val_1	8
v_wave_IamLegend_wave_u_nm_np1_ba_med_6	PLACEHOLDER	0.0	3.1199999999999997	3.1199999999999997	val_1	9
v_wave_OldSchool_wave_u_nm_np1_fr_med_24	PLACEHOLDER	0.0	2.0	2.0	val_1	10
v_wave_L_cheln_Und_Winken_wave_h_cm_np1_fr_med_0	PLACEHOLDER	0.0	3.32	3.32	val_1	11
v_wave_Crash_wave_u_cm_np1_ba_med_13	PLACEHOLDER	0.0	3.1199999999999997	3.1199999999999997	val_1	12
v_wave_Bush_Wave_vs__Obama_Wave_and_Which_Commander-in-chief_Salutes_the_Best__You_Decide_wave_u_cm_np1_fr_med_9	PLACEHOLDER	0.0	5.08	5.08	val_1	13
v_wave_50_FIRST_DATES_wave_u_cm_np1_fr_goo_30	PLACEHOLDER	0.0	2.1199999999999997	2.1199999999999997	val_1	14
v_wave_Song_I_Can_Wave_My_Hands_-_Cullen_s_Abc_s_wave_u_cm_np1_fr_med_1	PLACEHOLDER	0.0	3.1599999999999997	3.1599999999999997	val_1	15
v_wave_Abschieds-winken_!!!!!!_Gruss_Guido_wave_u_cm_np1_fr_bad_1	PLACEHOLDER	0.0	4.4	4.4	val_1	16
v_wave_Wie_man_winkt!!_wave_u_cm_np1_fr_med_0	PLACEHOLDER	0.0	3.1599999999999997	3.1599999999999997	val_1	17
v_wave_Gaye_waves_to_the_paparazzi_as_she_flees_New_York_after_stalking_Adam_Lambert_in_Central_Park_wave_u_cm_np1_fr_med_0	PLACEHOLDER	0.0	3.44	3.44	val_1	18
v_wave_Hands_Up__Clap_Hands_And_Wave!_wave_f_cm_np1_ri_med_0	PLACEHOLDER	0.0	3.44	3.44	val_1	19
v_wave_likebeckam_wave_u_cm_np1_le_med_20	PLACEHOLDER	0.0	1.9199999999999997	1.9199999999999997	val_1	20
v_wave_wave_and_say_hi_wave_u_nm_np1_fr_med_0	PLACEHOLDER	0.0	3.8	3.8	val_1	21
v_wave_Bush_Wave_vs__Obama_Wave_and_Which_Commander-in-chief_Salutes_the_Best__You_Decide_wave_u_cm_np1_fr_med_8	PLACEHOLDER	0.0	4.12	4.12	val_1	22
v_wave_Superbad_wave_f_cm_np1_fr_med_4	PLACEHOLDER	0.0	3.44	3.44	val_1	23
v_wave_CharlieAndTheChocolateFactory_wave_u_nm_np2_fr_goo_18	PLACEHOLDER	0.0	1.96	1.96	val_1	24
v_wave_Miro_Klose_winkt_wave_f_cm_np1_le_med_0	PLACEHOLDER	0.0	3.2	3.2	val_1	25
v_wave_RATRACE_wave_u_cm_np1_fr_med_6	PLACEHOLDER	0.0	1.96	1.96	val_1	26
v_wave_Newall_Green_High_Students_Waving_Goodbye_wave_u_cm_np3_fr_med_1	PLACEHOLDER	0.0	3.76	3.76	val_1	27
v_wave_prelinger_LetsBeGo1953_wave_u_cm_np10_ba_med_3	PLACEHOLDER	0.0	8.04	8.04	val_1	28
v_wave_Glory_wave_u_nm_np6_fr_med_33	PLACEHOLDER	0.0	2.7199999999999998	2.7199999999999998	val_1	29
v_wave_Bush_Wave_vs__Obama_Wave_and_Which_Commander-in-chief_Salutes_the_Best__You_Decide_wave_u_cm_np1_fr_med_7	PLACEHOLDER	0.0	8.12	8.12	val_1	30
v_wave_likebeckam_wave_u_cm_np1_fr_med_6	PLACEHOLDER	0.0	1.76	1.76	val_1	31
