video_id	caption_pred	start	end	duration	category_32	subs	phase	idx
v_HulaHoop_g15_c01	PLACEHOLDER	0.0	3.24	3.24	1	PLACEHOLDER	val_1	0
v_HulaHoop_g05_c01	PLACEHOLDER	0.0	4.24	4.24	1	PLACEHOLDER	val_1	1
v_HulaHoop_g09_c06	PLACEHOLDER	0.0	3.48	3.48	1	PLACEHOLDER	val_1	2
v_HulaHoop_g04_c05	PLACEHOLDER	0.0	4.6	4.6	1	PLACEHOLDER	val_1	3
v_HulaHoop_g21_c02	PLACEHOLDER	0.0	3.12	3.12	1	PLACEHOLDER	val_1	4
v_HulaHoop_g16_c06	PLACEHOLDER	0.0	3.64	3.64	1	PLACEHOLDER	val_1	5
v_HulaHoop_g01_c03	PLACEHOLDER	0.0	4.44	4.44	1	PLACEHOLDER	val_1	6
v_HulaHoop_g01_c06	PLACEHOLDER	0.0	4.84	4.84	1	PLACEHOLDER	val_1	7
v_HulaHoop_g17_c01	PLACEHOLDER	0.0	3.6	3.6	1	PLACEHOLDER	val_1	8
v_HulaHoop_g23_c01	PLACEHOLDER	0.0	3.24	3.24	1	PLACEHOLDER	val_1	9
v_HulaHoop_g25_c05	PLACEHOLDER	0.0	3.68	3.68	1	PLACEHOLDER	val_1	10
v_HulaHoop_g15_c02	PLACEHOLDER	0.0	3.44	3.44	1	PLACEHOLDER	val_1	11
v_HulaHoop_g13_c04	PLACEHOLDER	0.0	4.04	4.04	1	PLACEHOLDER	val_1	12
v_HulaHoop_g08_c02	PLACEHOLDER	0.0	3.64	3.64	1	PLACEHOLDER	val_1	13
v_HulaHoop_g09_c04	PLACEHOLDER	0.0	4.04	4.04	1	PLACEHOLDER	val_1	14
v_HulaHoop_g19_c01	PLACEHOLDER	0.0	3.4	3.4	1	PLACEHOLDER	val_1	15
v_HulaHoop_g22_c05	PLACEHOLDER	0.0	3.48	3.48	1	PLACEHOLDER	val_1	16
v_HulaHoop_g01_c01	PLACEHOLDER	0.0	3.64	3.64	1	PLACEHOLDER	val_1	17
v_HulaHoop_g04_c04	PLACEHOLDER	0.0	4.44	4.44	1	PLACEHOLDER	val_1	18
v_HulaHoop_g03_c04	PLACEHOLDER	0.0	4.04	4.04	1	PLACEHOLDER	val_1	19
v_HulaHoop_g23_c06	PLACEHOLDER	0.0	4.04	4.04	1	PLACEHOLDER	val_1	20
v_HulaHoop_g07_c02	PLACEHOLDER	0.0	4.04	4.04	1	PLACEHOLDER	val_1	21
v_HulaHoop_g03_c03	PLACEHOLDER	0.0	3.64	3.64	1	PLACEHOLDER	val_1	22
v_HulaHoop_g18_c02	PLACEHOLDER	0.0	4.32	4.32	1	PLACEHOLDER	val_1	23
v_HulaHoop_g11_c03	PLACEHOLDER	0.0	6.92	6.92	1	PLACEHOLDER	val_1	24
v_HulaHoop_g18_c03	PLACEHOLDER	0.0	3.68	3.68	1	PLACEHOLDER	val_1	25
v_HulaHoop_g18_c01	PLACEHOLDER	0.0	3.84	3.84	1	PLACEHOLDER	val_1	26
v_HulaHoop_g25_c04	PLACEHOLDER	0.0	3.88	3.88	1	PLACEHOLDER	val_1	27
v_HulaHoop_g16_c04	PLACEHOLDER	0.0	3.68	3.68	1	PLACEHOLDER	val_1	28
v_HulaHoop_g20_c06	PLACEHOLDER	0.0	4.04	4.04	1	PLACEHOLDER	val_1	29
v_HulaHoop_g20_c05	PLACEHOLDER	0.0	3.84	3.84	1	PLACEHOLDER	val_1	30
v_HulaHoop_g12_c04	PLACEHOLDER	0.0	3.96	3.96	1	PLACEHOLDER	val_1	31
v_HulaHoop_g03_c01	PLACEHOLDER	0.0	3.68	3.68	1	PLACEHOLDER	val_1	32
v_HulaHoop_g07_c01	PLACEHOLDER	0.0	3.84	3.84	1	PLACEHOLDER	val_1	33
v_HulaHoop_g10_c02	PLACEHOLDER	0.0	4.04	4.04	1	PLACEHOLDER	val_1	34
v_HulaHoop_g01_c02	PLACEHOLDER	0.0	5.64	5.64	1	PLACEHOLDER	val_1	35
v_HulaHoop_g20_c04	PLACEHOLDER	0.0	4.04	4.04	1	PLACEHOLDER	val_1	36
v_HulaHoop_g11_c01	PLACEHOLDER	0.0	7.84	7.84	1	PLACEHOLDER	val_1	37
v_HulaHoop_g12_c03	PLACEHOLDER	0.0	3.84	3.84	1	PLACEHOLDER	val_1	38
v_HulaHoop_g03_c02	PLACEHOLDER	0.0	3.24	3.24	1	PLACEHOLDER	val_1	39
v_HulaHoop_g13_c02	PLACEHOLDER	0.0	3.96	3.96	1	PLACEHOLDER	val_1	40
v_HulaHoop_g13_c03	PLACEHOLDER	0.0	3.76	3.76	1	PLACEHOLDER	val_1	41
v_HulaHoop_g10_c04	PLACEHOLDER	0.0	4.04	4.04	1	PLACEHOLDER	val_1	42
v_HulaHoop_g05_c03	PLACEHOLDER	0.0	4.32	4.32	1	PLACEHOLDER	val_1	43
v_HulaHoop_g22_c04	PLACEHOLDER	0.0	3.68	3.68	1	PLACEHOLDER	val_1	44
v_HulaHoop_g06_c02	PLACEHOLDER	0.0	4.32	4.32	1	PLACEHOLDER	val_1	45
